"","catalogNumber","coordinates","plotType","longitude","latitude"
"457","NO SCAN SQUISHED","41.50206-90.45157","LP-GM","41.50206","90.45157"
"458","AUGIEENTB0000422","41.56304-90.46707","LP-GU","41.56304","90.46707"
"459","AUGIEENTB0000423","41.56304-90.46707","LP-GU","41.56304","90.46707"
"460","AUGIEENTB0000424","41.56304-90.46707","LP-GU","41.56304","90.46707"
"461","AUGIEENTB0000396","41.537828-90.645823","LP-GU","41.537828","90.645823"
"462","AUGIEENTB0000397","41.537828-90.645823","LP-GU","41.537828","90.645823"
"463","AUGIEENTB0000398","41.537828-90.645823","LP-GU","41.537828","90.645823"
"464","AUGIEENTB0000399","41.537828-90.645823","LP-GU","41.537828","90.645823"
"465","AUGIEENTB0000400","41.537828-90.645823","LP-GU","41.537828","90.645823"
"466","AUGIEENTB0000401","41.537828-90.645823","LP-GU","41.537828","90.645823"
"467","AUGIEENTB0000402","41.537828-90.645823","LP-GU","41.537828","90.645823"
"468","AUGIEENTB0000403","41.537828-90.645823","LP-GU","41.537828","90.645823"
"469","AUGIEENTB0000404","41.537828-90.645823","LP-GU","41.537828","90.645823"
"470","AUGIEENTB0000405","41.537828-90.645823","LP-GU","41.537828","90.645823"
"471","AUGIEENTB0000406","41.537828-90.645823","LP-GU","41.537828","90.645823"
"472","AUGIEENTB0000407","41.537828-90.645823","LP-GU","41.537828","90.645823"
"473","AUGIEENTB0000408","41.537828-90.645823","LP-GU","41.537828","90.645823"
"474","AUGIEENTB0000376","41.56812-90.57119","LP-GU","41.56812","90.57119"
"475","AUGIEENTB0000377","41.56812-90.57119","LP-GU","41.56812","90.57119"
"476","AUGIEENTB0000378","41.56812-90.57119","LP-GU","41.56812","90.57119"
"477","AUGIEENTB0000379","41.56812-90.57119","LP-GU","41.56812","90.57119"
"478","AUGIEENTB0000450","41.531584-90.414653","LP-GU","41.531584","90.414653"
"479","AUGIEENTB0000451","41.463906-90.537662","LP-GU","41.463906","90.537662"
"480","AUGIEENTB0000380","41.5677-90.52301","LP-IC","41.5677","90.52301"
"481","AUGIEENTB0000381","41.5677-90.52301","LP-IC","41.5677","90.52301"
"482","AUGIEENTB0000382","41.5677-90.52301","LP-IC","41.5677","90.52301"
"483","AUGIEENTB0000383","41.5677-90.52301","LP-IC","41.5677","90.52301"
"484","AUGIEENTB0000384","41.5677-90.52301","LP-IC","41.5677","90.52301"
"485","AUGIEENTB0000385","41.5677-90.52301","LP-IC","41.5677","90.52301"
"486","AUGIEENTB0000386","41.5677-90.52301","LP-IC","41.5677","90.52301"
"487","AUGIEENTB0000390","41.556505-90.57834","LP-IC","41.556505","90.57834"
"488","AUGIEENTB0000391","41.556505-90.57834","LP-IC","41.556505","90.57834"
"489","AUGIEENTB0000433","41.56812-90.57119","LP-IC","41.56812","90.57119"
"490",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"491",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"492",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"493",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"494",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"495",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"496",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"497",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"498",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"499",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"500",NA,"41.56812-90.57119","LP-IC","41.56812","90.57119"
"501","AUGIEENTB0000434","41.56812-90.57119","LP-IC","41.56812","90.57119"
"502","AUGIEENTB0000435","41.469869-90.506684","LP-IC","41.469869","90.506684"
"503",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"504",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"505",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
"506",NA,"41.469869-90.506684","LP-IC","41.469869","90.506684"
